Resolution,X dimension (pixel),Y dimension (pixel),X distance between FM,Y distance between FM,Xp1,Yp1,Xp2,Yp2,Xp3,Yp3,Xp4,Yp4
600,5400,5400,4998,5070,201,165,5199,165,5199,5235,201,5235
700,6300,6300,5831,5915,234,192,6066,192,6066,6108,234,6108
800,7200,7200,6664,6760,268,220,6932,220,6932,6980,268,6980
900,8100,8100,7497,7605,302,248,7798,248,7798,7852,302,7852
1000,9000,9000,8330,8450,335,275,8665,275,8665,8725,335,8725
1100,9900,9900,9163,9295,368,302,9532,302,9532,9598,368,9598
1200,10800,10800,9996,10140,402,330,10398,330,10398,10470,402,10470
1300,11700,11700,10829,10985,436,358,11264,358,11264,11342,436,11342
1400,12600,12600,11662,11830,469,385,12131,385,12131,12215,469,12215
1500,13500,13500,12495,12675,502,412,12998,412,12998,13088,502,13088
1600,14400,14400,13328,13520,536,440,13864,440,13864,13960,536,13960
1700,15300,15300,14161,14365,570,468,14730,468,14730,14832,570,14832
1800,16200,16200,14994,15210,603,495,15597,495,15597,15705,603,15705
1900,17100,17100,15827,16055,636,522,16464,522,16464,16578,636,16578
2000,18000,18000,16660,16900,670,550,17330,550,17330,17450,670,17450
2100,18900,18900,17493,17745,704,578,18196,578,18196,18322,704,18322
2200,19800,19800,18326,18590,737,605,19063,605,19063,19195,737,19195
2300,20700,20700,19159,19435,770,632,19930,632,19930,20068,770,20068
2400,21600,21600,19992,20280,804,660,20796,660,20796,20940,804,20940
